Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Low Fat,DRM59,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,-5.385,5.88,153.9,5
Low Fat,DRG23,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,-5.476,8.88,153.37,5
Low Fat,NCJ29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,-5.568,10.6,84.72,5
Low Fat,NCM42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,-5.659,6.13,110.09,5
Low Fat,NCY42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,-5.751,6.38,144.95,5
Low Fat,NCX54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,-5.842,9.2,107.76,5
Low Fat,NCI06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,-5.934,11.3,180.77,5
Low Fat,NCQ02,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,-6.025,12.6,186.96,5
Low Fat,NCR38,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,-6.116,17.25,253.47,5
Low Fat,NCM30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,-6.208,19.1,41.98,5
Low Fat,FDK43,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,-6.299,9.8,126.3,5
Low Fat,FDK21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-6.391,7.91,249.64,5
Low Fat,FDR45,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-6.482,10.8,239.22,5
Low Fat,FDV09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-6.573,12.1,147.57,5
Regular,FDU12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-6.665,15.5,261.76,5
Regular,FDZ47,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-6.756,20.7,99.8,5
Regular,FDO11,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,-6.848,8,247.41,5
Regular,FDU49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,-6.939,19.5,85.55,5
Regular,FDA02,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,-7.031,14,145.48,5
Regular,FDV26,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,-7.122,20.25,194.28,5
Regular,FDA04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-7.213,11.3,257.3,5
Regular,FDO52,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-7.305,11.6,172.41,5
Regular,FDA40,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-7.396,16,87.09,5
Regular,FDS27,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,-7.488,10.2,197.11,5
Regular,FDU15,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,-7.579,13.65,37.95,5
Regular,FDV33,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-7.67,9.6,259.23,5
Regular,FDV34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-7.762,10.7,73.5,5
Regular,FDX46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-7.853,12.3,59.16,5
low fat,NCA53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,-7.945,11.4,50.3,5
reg,FDT24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-8.036,12.35,78.23,5
reg,FDX27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,-8.128,20.7,94.94,5
LF,NCQ38,Others,2018,OUT019,Tier 1,Small,Grocery Store,-8.219,12.84,108.23,5
Low Fat,FDK02,Canned,2018,OUT019,Tier 1,Small,Grocery Store,-8.31,12.84,120.54,5
Low Fat,FDI15,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,-8.402,12.84,263.19,5
Low Fat,FDE09,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,-8.493,12.84,109.72,5
Low Fat,FDS55,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,-8.585,12.84,150.37,5
Low Fat,FDZ56,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,-8.676,12.84,167.55,5
Low Fat,NCA05,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,-8.767,12.84,148.27,5
Low Fat,NCK29,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,-8.859,12.84,123.47,5
Low Fat,NCU29,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,-8.95,12.84,145.98,5
Low Fat,NCX41,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,-9.042,12.84,210.52,5
Low Fat,NCG07,Household,2018,OUT019,Tier 1,Small,Grocery Store,-9.133,12.84,189.75,5
Low Fat,NCI30,Household,2018,OUT019,Tier 1,Small,Grocery Store,-9.225,12.84,244.35,5
Low Fat,NCR54,Household,2018,OUT019,Tier 1,Small,Grocery Store,-9.316,12.84,194.71,5
Low Fat,NCT06,Household,2018,OUT019,Tier 1,Small,Grocery Store,-9.407,12.84,167.78,5
Low Fat,FDN15,Meat,2018,OUT019,Tier 1,Small,Grocery Store,-9.499,12.84,140.32,5
Low Fat,FDJ45,Seafood,2018,OUT019,Tier 1,Small,Grocery Store,-9.59,12.84,34.22,5
Regular,FDL13,Breakfast,2018,OUT019,Tier 1,Small,Grocery Store,-9.682,12.84,232.73,5
Regular,FDL02,Canned,2018,OUT019,Tier 1,Small,Grocery Store,-9.773,12.84,107.16,5
Regular,FDF56,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,-9.864,12.84,179.2,5
Regular,FDQ27,Meat,2018,OUT019,Tier 1,Small,Grocery Store,-9.956,12.84,101.4,5
Regular,FDG35,Starchy Foods,2018,OUT019,Tier 1,Small,Grocery Store,-10.047,12.84,173.87,5
reg,FDD38,Canned,2018,OUT019,Tier 1,Small,Grocery Store,-10.139,12.84,103.77,5
reg,FDE41,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,-10.23,12.84,83.76,5
Low Fat,FDP24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,-10.322,20.6,119.48,5
Low Fat,FDH38,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,-10.413,6.43,115.88,5
Low Fat,FDT49,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,-10.504,7,107.73,5
Low Fat,FDN02,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,-10.596,16.5,208.86,5
Low Fat,DRF27,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,-10.687,8.93,154.53,5
Low Fat,FDT02,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,-10.779,12.6,36.19,5
Low Fat,FDF05,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,-10.87,17.5,264.49,5
Low Fat,FDI45,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,-10.961,13.1,175.51,5
Low Fat,FDZ20,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,-11.053,16.1,252.34,5
Low Fat,NCC42,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,-11.144,15,140.28,5
Low Fat,NCQ53,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,-11.236,17.6,234.66,5
Low Fat,NCR54,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,-11.327,16.35,198.21,5
Low Fat,NCX06,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,-11.419,17.6,182.7,5
Low Fat,NCO06,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,-11.51,19.25,32.46,5
Low Fat,NCN54,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,-11.601,20.35,76.13,5
Low Fat,FDL27,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,-11.693,6.17,65.98,5
Low Fat,FDV51,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,-11.784,16.35,165.78,5
Low Fat,FDC46,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,-11.876,17.7,182.63,5
Low Fat,FDZ58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,-11.967,17.85,122.81,5
Low Fat,FDN21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,-12.059,18.6,161.02,5
Low Fat,FDO58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,-12.15,19.6,166.15,5
Low Fat,DRD24,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,-12.241,13.85,143.32,5
Low Fat,DRI37,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,-12.333,15.85,58.79,5
Regular,FDI12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,-12.424,9.4,89.69,5
Regular,FDP12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,-12.516,9.8,36.99,5
Regular,FDO01,Breakfast,2016,OUT046,Tier 1,Small,Supermarket Type1,-12.607,21.1,130.5,5
Regular,FDZ37,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,-12.698,8.1,88.62,5
Regular,FDJ15,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,-12.79,11.35,182.56,5
Regular,FDM04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,-12.881,9.2,53.17,5
Regular,FDI40,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,-12.973,11.5,100.84,5
Regular,FDX04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,-13.064,19.6,49.94,5
Regular,FDS15,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,-13.156,9.2,106.36,5
Regular,FDJ57,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,-13.247,7.42,184.66,5
Regular,FDG21,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,-13.338,17.35,150.41,5
Regular,FDW21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,-13.43,5.34,99.54,5
Regular,FDX10,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,-13.521,6.39,37.19,5
LF,DRI51,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,-13.613,17.25,171.58,5
LF,NCZ17,Health and Hygiene,2020,OUT017,Tier 2,Medium,Supermarket Type1,-13.704,12.15,39.15,5
LF,DRE25,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,-13.795,15.35,91.91,5
Low Fat,FDT60,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,-13.887,12,124.64,5
Low Fat,FDN24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,-13.978,14.1,56.2,5
Low Fat,FDO37,Breakfast,2015,OUT045,Tier 2,Medium,Supermarket Type1,-14.07,8.06,232.03,5
Low Fat,FDI14,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,-14.161,14.1,140.25,5
Low Fat,FDW37,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,-14.253,19.2,89.75,5
Low Fat,DRC27,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,-14.344,13.8,247.48,5
Low Fat,FDK16,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,-14.435,9.07,96.01,5
Low Fat,FDK41,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,-14.527,14.3,83.62,5
Low Fat,FDY31,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,-14.618,5.98,146.14,5
Low Fat,FDT20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,-14.71,10.5,36.82,5
Low Fat,FDI45,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,-14.801,13.1,175.81,5
Low Fat,FDG57,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,-14.892,14.7,48.6,5
Low Fat,FDN32,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,-14.984,17.5,184.83,5
Low Fat,FDX19,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,-15.075,19.1,233.9,5
Low Fat,FDP20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,-15.167,19.85,125.6,5
Low Fat,NCR17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,-15.258,9.8,116.45,5
Low Fat,NCT17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,-15.35,10.8,190.02,5
Low Fat,NCU05,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,-15.441,11.8,79.16,5
Low Fat,NCT42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,-15.532,5.88,148.44,5
Low Fat,NCV18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,-15.624,6.78,84.63,5
Low Fat,NCH43,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,-15.715,8.42,216.42,5
Low Fat,NCE18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,-15.807,10,251.68,5
Low Fat,NCC18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,-15.898,19.1,173.94,5
Low Fat,NCJ42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,-15.989,19.75,104.23,5
Low Fat,FDQ10,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,-16.081,12.85,172.44,5
Low Fat,FDL34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,-16.172,16,142.65,5
Low Fat,DRK37,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,-16.264,5,189.85,5
Low Fat,DRF48,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,-16.355,5.73,188.19,5
Low Fat,DRG49,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,-16.447,7.81,246.05,5
Low Fat,FDX60,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,-16.538,14.35,79.2,5
Low Fat,FDS13,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,-16.629,6.47,266.89,5
Low Fat,FDC50,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,-16.721,15.85,94.41,5
Low Fat,FDK51,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,-16.812,19.85,264.59,5
Low Fat,FDD17,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,-16.904,7.5,239.69,5
Low Fat,FDJ28,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,-16.995,12.3,191.22,5
Low Fat,FDP16,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,-17.086,18.6,243.68,5
Low Fat,FDB20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,-17.178,7.72,79.2,5
Low Fat,FDP56,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,-17.269,8.19,49.97,5
Low Fat,FDT43,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,-17.361,16.35,50.83,5
Low Fat,DRI59,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,-17.452,9.5,223.51,5
Low Fat,DRN47,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,-17.544,12.1,178.37,5
Low Fat,DRM23,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,-17.635,16.6,173.34,5
Low Fat,NCN53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,-17.726,5.18,33.59,5
Low Fat,NCT53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,-17.818,5.4,163.05,5
Low Fat,NCQ05,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,-17.909,11.4,149.27,5
Low Fat,NCM53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,-18.001,18.75,108.13,5
Low Fat,NCX42,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,-18.092,6.36,163.05,5
Low Fat,NCT18,Household,2020,OUT017,Tier 2,High,Supermarket Type1,-18.183,14.6,179.7,5
Low Fat,NCI30,Household,2020,OUT017,Tier 2,High,Supermarket Type1,-18.275,20.25,246.45,5
Low Fat,NCE54,Household,2020,OUT017,Tier 2,High,Supermarket Type1,-18.366,20.7,73.94,5
Low Fat,FDH19,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,-18.458,19.35,173.87,5
Low Fat,FDT03,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,-18.549,21.25,183.16,5
Low Fat,NCN19,Others,2020,OUT017,Tier 2,High,Supermarket Type1,-18.641,13.1,190.25,5
Low Fat,NCQ43,Others,2020,OUT017,Tier 2,High,Supermarket Type1,-18.732,17.75,108.89,5
Low Fat,FDK09,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,-18.823,15.2,227.24,5
Low Fat,FDV46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,-18.915,18.2,139.82,5
Low Fat,FDY46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,-19.006,18.6,188.99,5
Regular,FDK26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,-19.098,5.46,187.62,5
Regular,FDI50,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,-19.189,8.42,227.64,5
Regular,FDB26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,-19.28,14,52.36,5
Regular,FDY49,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,-19.372,17.2,165.72,5
Regular,FDB04,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,-19.463,11.35,88.99,5
Regular,FDA02,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,-19.555,14,146.38,5
Regular,FDZ28,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,-19.646,20,128.07,5
Regular,FDE17,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,-19.738,20.1,152.24,5
Regular,FDQ19,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,-19.829,7.35,241.35,5
Regular,FDM08,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,-19.92,10.1,222.91,5
Regular,FDP03,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,-20.012,5.15,122.14,5
Regular,FDU58,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,-20.103,6.61,186.49,5
Regular,FDU46,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,-20.195,10.3,84.85,5
Regular,FDY34,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,-20.286,10.5,167.18,5
Regular,FDO09,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,-20.377,13.5,262.19,5
Regular,FDP48,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,-20.469,7.52,181.4,5
Regular,FDI12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,-20.56,9.4,86.89,5
Regular,FDY12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,-20.652,9.8,50,5
Regular,FDX48,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,-20.743,17.75,154.07,5
Regular,FDV60,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,-20.835,20.2,195.81,5
Regular,FDQ47,Breads,2020,OUT017,Tier 2,High,Supermarket Type1,-20.926,7.16,35.29,5
Regular,FDZ13,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,-21.017,7.84,50.84,5
Regular,FDM04,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,-21.109,9.2,50.87,5
Regular,FDS04,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,-21.2,10.2,141.58,5
Regular,FDV28,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,-21.292,16.1,35.16,5
Regular,FDU19,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,-21.383,8.77,170.54,5
Regular,FDE56,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,-21.475,17.25,61.52,5
Regular,FDI07,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,-21.566,12.35,197.24,5
Regular,FDU15,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,-21.657,13.65,36.65,5
